id;group;index;title;points;icon;hidden;tasks;description
BRAWLER;Brawler;0;Brawler;80;fa-person-rifle;0;"BRAWLER_C:1:Defeat a max level Cop
BRAWLER_G:1:Defeat a max level Gang";I am what I am. A fighter.
COPS_1;Encounters;0;Patrol Buster;10;fa-user-police;0;COPS:10:Defeat 10 Cops;When the streets talk back, the law listens
COPS_2;Encounters;1;Precinct Nightmare;25;fa-siren;0;COPS:100:Defeat 100 Cops;When the streets talk back, the law listens
COPS_3;Encounters;2;Five-O Reaper;50;fa-helicopter;0;COPS:500:Defeat 500 Cops;When the streets talk back, the law listens
DEALER_1;Dealer;0;Operator;10;fa-tablets;0;DEALER:100:Make 100 deals worth over a million;Only drug dealers and software companies call their customers 'users'
DEALER_2;Dealer;1;Broker;30;fa-capsules;0;DEALER:200:Make 200 deals worth over a million;Only drug dealers and software companies call their customers 'users'
DEALER_3;Dealer;2;Cartel;75;fa-bong;0;DEALER:500:Make 500 deals worth over a million;Only drug dealers and software companies call their customers 'users'
ESCAPE_1;Escape;0;Quickstep;10;fa-person-running-fast;0;ESCAPE:10:Escape Cops or Gangs 10 times;It's not outrunning them, it's outsmarting them.
ESCAPE_2;Escape;1;Shadow;25;fa-motorcycle;0;ESCAPE:20:Escape Cops or Gangs 20 times;It's not outrunning them, it's outsmarting them.
ESCAPE_3;Escape;2;Eel;50;fa-snake;0;ESCAPE:50:Escape Cops or Gangs 50 times;It's not outrunning them, it's outsmarting them.
FAMOUS;Notorious;0;Notorious;80;fa-joint;0;FAMOUS:1:End a game with max reputation;The game is the game. Always.
GANGS_1;Encounters;0;Turf Taker;10;fa-hand-back-fist;0;GANGS:10:Defeat 10 Gangs;Your rep is your currency and every shot fired is an investment
GANGS_2;Encounters;1;Block Boss;25;fa-knife-kitchen;0;GANGS:100:Defeat 100 Gangs;Your rep is your currency and every shot fired is an investment
GANGS_3;Encounters;2;Syndicate Slayer;50;fa-gun;0;GANGS:500:Defeat 500 Gangs;Your rep is your currency and every shot fired is an investment
HUSTLER_1;Block Ambition;0;Slinger;20;fa-head-side-mask;0;HUSTLER:10:Play 10 ranked games;It's not about becoming someone. It's about becoming someone they can't ignore
HUSTLER_2;Block Ambition;1;Hustler;50;fa-user-hoodie;0;HUSTLER:50:Play 50 ranked games;It's not about becoming someone. It's about becoming someone they can't ignore
HUSTLER_3;Block Ambition;2;OG;75;fa-luchador-mask;0;HUSTLER:100:Play 100 ranked games;It's not about becoming someone. It's about becoming someone they can't ignore
JAILBIRD_1;Jailbird;0;Outlaw;10;fa-hands-bound;1;JAILBIRD:1:Get jailed once;The walls have ears, and they've heard enough
JAILBIRD_2;Jailbird;1;Criminal;25;fa-handcuffs;1;JAILBIRD:3:Get jailed 3 times;The walls have ears, and they've heard enough
JAILBIRD_3;Jailbird;2;Jailbird;50;fa-dungeon;1;JAILBIRD:1:Get jailed 10 times;The walls have ears, and they've heard enough
KINGPIN;Domination;0;Kingpin;100;fa-crown;0;KINGPIN:1:Win a season of Dopewars;In the boss's domain, every decision is a command, every order, law.
LAUNDERER;Launderer;0;The Cleaner;50;fa-washing-machine;1;LAUNDERER:1:Launder the results at the end of a season.;Mixing the dirt with the dough
RIP;Rip;0;Flatliner;10;fa-skull-crossbones;1;RIP:1:Die;We all got a number, and it's not the one you dial
STUFFED;Fully Loaded;0;Fully Loaded;80;fa-user-ninja;1;STUFFED:1:Max out equipment;If they bring a knife to the fight, we bring a gun
